Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1778090.09,2712.2,29.29,17.94,30.54,718061,84142,23437,0.32,-0.31,0.04,-0.05,77.42,24,3.16
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1241655.02,3397.35,32.4,9.89,13.3,195772,51687,13360,0.22,-0.44,-0.04,0,51.22,21,1.55
HDFC Bank Ltd,HDFCBANK,Private Banks,891794.75,1597.85,23.44,14.24,-27.6,167695.4,50873.38,12820.63,0.6,-0.18,-0.03,-0.09,91.89,34,14.22
Infosys Ltd,INFY,IT Services & Consulting,680667.91,1629.05,30.79,11.62,18.13,123936,30110,8000,9.13,-0.42,0.23,0,80.95,34,2.97
ICICI Bank Ltd,ICICIBANK,Private Banks,653338.26,946.75,26.02,6.8,-49.98,157536.32,34241.28,9131.17,-0.53,1.22,-0.4,0,97.5,39,14.5
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,592991.93,2634.2,66.79,9.35,10.75,52887,11879,3000,-0.45,0.74,0.06,0,71.79,28,8.38
State Bank of India,SBIN,Public Banks,542852.65,608.55,15.35,6.39,-32.31,406973.09,49738.63,14364.75,0.31,0.34,0.11,-0.05,95.24,40,17.49
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,483495.48,835.85,113.63,4.14,13.89,122048.4,12483.1,8228.2,-1.33,3.34,-1.4,-0.8,80,24,10.31
Housing Development Finance Corporation Ltd,HDFC,Home Financing,483449.47,2665.25,21.4,18.86,-83.89,144937.87,28251.82,5657.13,0.07,0.02,-0.12,0,96,24,10.68
Adani Enterprises Ltd,ADANIENT,Commodities Trading,442777.48,3878.4,570.18,13.52,1.8,70432.69,952.05,175.49,-0.35,-0.23,-0.52,0.35,0,0,-9.45
ITC Ltd,ITC,FMCG - Tobacco,421780.45,342.3,27.67,7.02,13.58,62521.92,20740.47,5497.81,-0.42,30.01,-0.41,0,91.18,31,16.13
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,409206.07,6734.15,58.22,25.93,-10.19,31640.41,9503.78,2475.55,0.13,0.52,0.32,0,57.14,16,23.4
Life Insurance Corporation Of India,LICI,Insurance,398128.91,636.8,96.52,NULL,11.72,724744.32,12137.88,8013.17,-0.15,0.05,-0.1,0,81.82,9,33.48
Adani Total Gas Ltd,ATGL,Gas Distribution,396279.6,3600,777.93,22.25,NULL,3079.31,679.04,169.64,0.23,-0.12,0.01,0,NULL,0,NULL
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,383187.92,1925.55,31.7,11.68,-55.61,59051.01,15948.31,3858.91,2.68,0.38,0.94,-0.01,60,24,9.06
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,315159.63,2012.05,644.5,57.51,29.72,5642,553,64,0.29,-0.66,-0.02,0.25,0,0,-68.79
Adani Transmission Ltd,ADANITRANS,Power Infrastructure,302817.63,2782.7,251.38,34.05,-0.55,12543.94,1700.49,495.88,0.16,-0.08,-0.02,0,100,2,6.57
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,302730.9,1128.95,22.43,12.26,15.81,86718,16951,3452,1,-0.73,-0.2,0,66.67,26,-2.56
Asian Paints Ltd,ASIANPAINT,Paints,301983.25,3135.05,99.65,10.86,20.42,29512.86,4187.72,1157.15,0.36,0.05,0.18,0,41.67,15,7.33
